district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta,gw_delta_lag1,gw_delta_lag2,rain_total_lag1,rain_total_lag2,temp_avg_lag1
Agar malwa,madhya pradesh,2024.0,1.0,4.72,0.152258064516129,18.10225806451613,2,0,200.0,3,-0.7440322580645162,-1.0454865591397855,-0.5384583333333337,6.79,13.510000000000002,18.99387096774193
Agar malwa,madhya pradesh,2024.0,2.0,2.09,0.0720689655172413,21.36275862068965,2,0,200.0,3,-0.6278921023359274,-0.7440322580645162,-1.0454865591397855,4.72,6.79,18.10225806451613
Agar malwa,madhya pradesh,2024.0,3.0,3.35,0.1080645161290322,26.24225806451613,2,0,200.0,3,0.3068437152391539,-0.6278921023359274,-0.7440322580645162,2.09,4.72,21.36275862068965
Agar malwa,madhya pradesh,2024.0,4.0,11.45,0.3816666666666666,31.129,2,0,200.0,3,0.8845672043010753,0.3068437152391539,-0.6278921023359274,3.35,2.09,26.24225806451613
Agar malwa,madhya pradesh,2024.0,5.0,2.9,0.0935483870967742,36.32096774193548,2,0,200.0,3,1.1708360215053766,0.8845672043010753,0.3068437152391539,11.45,3.35,31.129
Agar malwa,madhya pradesh,2024.0,6.0,99.63,3.321,34.044666666666664,2,0,200.0,3,-1.3789193548387102,1.1708360215053766,0.8845672043010753,2.9,11.45,36.32096774193548
Agar malwa,madhya pradesh,2024.0,7.0,226.55,7.308064516129033,28.876129032258063,2,0,200.0,3,3.977870967741936,-1.3789193548387102,1.1708360215053766,99.63,2.9,34.044666666666664
Agar malwa,madhya pradesh,2024.0,8.0,225.71,7.280967741935484,26.756774193548388,2,0,200.0,3,2.574516129032258,3.977870967741936,-1.3789193548387102,226.55,99.63,28.876129032258063
Agar malwa,madhya pradesh,2024.0,9.0,123.55,4.118333333333333,26.385,2,0,200.0,3,-0.2573870967741933,2.574516129032258,3.977870967741936,225.71,226.55,26.756774193548388
Agar malwa,madhya pradesh,2024.0,10.0,11.35,0.3661290322580645,25.293548387096774,2,0,200.0,3,-0.6385887096774194,-0.2573870967741933,2.574516129032258,123.55,225.71,26.385
Agar malwa,madhya pradesh,2024.0,11.0,0.0,0.0,20.992,2,0,200.0,3,-1.004994623655914,-0.6385887096774194,-0.2573870967741933,11.35,123.55,25.293548387096774
Agar malwa,madhya pradesh,2024.0,12.0,12.26,0.3954838709677419,17.212580645161292,2,0,200.0,3,-1.2207634408602148,-1.004994623655914,-0.6385887096774194,0.0,11.35,20.992
Agar malwa,madhya pradesh,2025.0,1.0,7.37,0.2377419354838709,17.883870967741935,2,0,200.0,3,-3.538411290322581,-1.2207634408602148,-1.004994623655914,12.26,0.0,17.212580645161292
Agar malwa,madhya pradesh,2025.0,2.0,0.0,0.0,22.765,2,0,200.0,3,-1.503420506912442,-3.538411290322581,-1.2207634408602148,7.37,12.26,17.883870967741935
