district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta
ahmedabad,gujarat,2024.0,3.0,2.53,0.0816129032258064,28.19032258064516,2,1,207.5,3,-1.6055274193548428
ahmedabad,gujarat,2024.0,4.0,0.03,0.001,33.017,2,1,207.5,3,-1.0223559139784868
ahmedabad,gujarat,2024.0,5.0,7.069999999999999,0.2280645161290322,36.086129032258064,2,1,207.5,3,5.119574734607227
ahmedabad,gujarat,2024.0,6.0,110.14,3.6713333333333336,34.096666666666664,2,1,207.5,3,0.965891932059435
ahmedabad,gujarat,2024.0,7.0,246.88,7.963870967741935,29.62903225806452,2,1,207.5,3,4.70334086021505
ahmedabad,gujarat,2024.0,8.0,290.23,9.36225806451613,28.34741935483871,2,1,207.5,3,70.36145161290324
ahmedabad,gujarat,2024.0,9.0,235.7,7.856666666666666,27.709333333333333,2,1,207.5,3,53.29677419354839
ahmedabad,gujarat,2024.0,10.0,48.75000000000001,1.5725806451612905,27.4358064516129,2,1,207.5,3,0.0
ahmedabad,gujarat,2024.0,11.0,0.0,0.0,22.904666666666667,2,1,207.5,3,2.0
ahmedabad,gujarat,2024.0,12.0,0.01,0.0003225806451612,18.416451612903224,2,1,207.5,3,0.0
ahmedabad,gujarat,2025.0,1.0,0.0,0.0,20.08451612903226,2,1,207.5,3,0.0
ahmedabad,gujarat,2025.0,2.0,0.0,0.0,25.21857142857143,2,1,207.5,3,0.0
ahmedabad,gujarat,2025.0,3.0,0.0,0.0,29.633548387096774,2,1,207.5,3,0.0
ahmedabad,gujarat,2025.0,4.0,1.09,0.0363333333333333,34.05166666666666,2,1,207.5,3,0.0
ahmedabad,gujarat,2025.0,5.0,104.92,3.3845161290322583,32.476129032258065,2,1,207.5,3,0.0
ahmedabad,gujarat,2025.0,6.0,269.74,8.991333333333333,31.208,2,1,207.5,3,0.0
ahmedabad,gujarat,2025.0,7.0,198.37,6.3990322580645165,28.43387096774193,2,1,207.5,3,-5.444464285714285
ahmedabad,gujarat,2025.0,8.0,147.18,4.747741935483871,28.22483870967742,2,1,207.5,3,-0.991342165898618
ahmedabad,gujarat,2025.0,9.0,167.97,5.599,27.59733333333333,2,1,207.5,3,-0.4987768817204303
ahmedabad,gujarat,2025.0,10.0,123.2,3.9741935483870967,26.03419354838709,2,1,207.5,3,-0.0684274193548386
amreli,gujarat,2023.0,11.0,31.59,1.053,24.900666666666663,2,0,60.0,3,-2.4425000000000017
amreli,gujarat,2023.0,12.0,0.09,0.0029032258064516,21.61806451612903,2,0,60.0,3,-0.5547903225806436
amreli,gujarat,2024.0,1.0,0.03,0.0009677419354838,20.94161290322581,2,0,60.0,3,-0.561854838709678
amreli,gujarat,2024.0,2.0,0.0,0.0,24.095172413793104,2,0,60.0,3,-3.362285873192436
amreli,gujarat,2024.0,3.0,2.74,0.0883870967741935,27.26516129032258,2,0,60.0,3,-1.1526334816462749
amreli,gujarat,2024.0,4.0,0.52,0.0173333333333333,31.797,2,0,60.0,3,-1.7321854838709658
amreli,gujarat,2024.0,5.0,11.57,0.3732258064516129,34.58806451612903,2,0,60.0,3,-3.3582177419354835
amreli,gujarat,2024.0,6.0,100.71,3.357,32.974333333333334,2,0,60.0,3,-0.7019489247311839
amreli,gujarat,2024.0,7.0,256.45,8.27258064516129,28.989032258064515,2,0,60.0,3,4.438077956989247
amreli,gujarat,2024.0,8.0,337.28000000000003,10.88,27.562258064516133,2,0,60.0,3,6.920564516129032
amreli,gujarat,2024.0,9.0,182.67,6.089,26.816666666666663,2,0,60.0,3,6.298107526881721
amreli,gujarat,2024.0,10.0,65.75,2.120967741935484,26.52290322580645,2,0,60.0,3,0.6506827956989247
amreli,gujarat,2024.0,11.0,0.0,0.0,22.494000000000003,2,0,60.0,3,0.7721505376344087
amreli,gujarat,2024.0,12.0,0.0,0.0,17.904193548387095,2,0,60.0,3,-0.5609408602150538
amreli,gujarat,2025.0,1.0,0.0,0.0,20.36903225806452,2,0,60.0,3,-0.8134677419354837
amreli,gujarat,2025.0,2.0,0.0,0.0,24.833214285714288,2,0,60.0,3,-0.9014544930875577
amreli,gujarat,2025.0,3.0,0.0,0.0,28.786451612903225,2,0,60.0,3,-0.9022551843317972
amreli,gujarat,2025.0,4.0,0.49,0.0163333333333333,32.88966666666666,2,0,60.0,3,-0.794548387096774
amreli,gujarat,2025.0,5.0,87.4,2.8193548387096774,32.11774193548387,2,0,60.0,3,-1.061661290322581
amreli,gujarat,2025.0,6.0,299.29,9.976333333333336,30.381666666666668,2,0,60.0,3,-0.4824220430107528
amreli,gujarat,2025.0,7.0,166.06,5.356774193548387,27.778387096774196,2,0,60.0,3,0.9425833333333332
amreli,gujarat,2025.0,8.0,143.61,4.63258064516129,27.436129032258066,2,0,60.0,3,0.5378494623655916
amreli,gujarat,2025.0,9.0,161.37,5.379,26.743,2,0,60.0,3,0.2196230651069362
amreli,gujarat,2025.0,10.0,108.3,3.4935483870967743,25.436129032258066,2,0,60.0,3,0.1374481074481073
amreli,gujarat,2025.0,11.0,17.919999999999998,0.5973333333333333,21.247,2,0,60.0,3,-0.1296206349206352
amreli,gujarat,2025.0,12.0,0.72,0.0232258064516129,20.013870967741937,2,0,60.0,3,-0.0452999999999992
anand,gujarat,2023.0,8.0,21.11,0.6809677419354838,27.64,2,0,50.0,3,0.1281619442022668
anand,gujarat,2023.0,9.0,200.91,6.697,28.287,2,0,50.0,3,0.0797930107526883
anand,gujarat,2023.0,10.0,0.27,0.0087096774193548,27.1,2,0,50.0,3,-0.1166394557823129
anand,gujarat,2023.0,11.0,31.92,1.064,24.238,2,0,50.0,3,-0.687931165686614
anand,gujarat,2023.0,12.0,2.34,0.0754838709677419,21.837741935483876,2,0,50.0,3,-0.3357424689494266
anand,gujarat,2024.0,1.0,0.49,0.0158064516129032,20.608064516129037,2,0,50.0,3,-0.0476008880762699
anand,gujarat,2024.0,2.0,0.0,0.0,24.197241379310345,2,0,50.0,3,0.0739599555061176
anand,gujarat,2024.0,3.0,2.12,0.0683870967741935,27.684838709677415,2,0,50.0,3,-0.0413793103448272
anand,gujarat,2024.0,4.0,0.04,0.0013333333333333,32.694,2,0,50.0,3,-0.1523333333333334
anand,gujarat,2024.0,5.0,5.220000000000001,0.1683870967741935,36.02,2,0,50.0,3,-0.5117466666666668
anand,gujarat,2024.0,6.0,108.97,3.632333333333333,34.342333333333336,2,0,50.0,3,-0.2281927272727273
anand,gujarat,2024.0,7.0,294.35,9.49516129032258,29.948064516129037,2,0,50.0,3,0.4525146627565979
anand,gujarat,2024.0,8.0,422.4,13.625806451612902,28.26483870967742,2,0,50.0,3,1.7082983870967745
anand,gujarat,2024.0,9.0,279.17,9.305666666666667,27.699333333333332,2,0,50.0,3,0.2241513440860214
anand,gujarat,2024.0,10.0,30.15,0.9725806451612904,27.114516129032257,2,0,50.0,3,-0.4132077956989248
anand,gujarat,2024.0,11.0,0.0,0.0,22.448666666666668,2,0,50.0,3,-0.6141505376344087
anand,gujarat,2024.0,12.0,0.02,0.0006451612903225,17.93,2,0,50.0,3,-0.4029139784946234
anand,gujarat,2025.0,1.0,0.0,0.0,19.55935483870968,2,0,50.0,3,0.0030666264697019
anand,gujarat,2025.0,2.0,0.0,0.0,24.0525,2,0,50.0,3,0.0855428648454346
anand,gujarat,2025.0,3.0,0.0,0.0,28.94516129032258,2,0,50.0,3,0.0372039124668437
anand,gujarat,2025.0,4.0,0.51,0.017,33.40266666666667,2,0,50.0,3,-0.2457410919540232
anand,gujarat,2025.0,5.0,110.59,3.567419354838709,32.832258064516125,2,0,50.0,3,-0.2329227011494254
anand,gujarat,2025.0,6.0,291.76,9.725333333333332,31.104666666666667,2,0,50.0,3,0.5315977011494253
anand,gujarat,2025.0,7.0,257.17,8.295806451612904,28.381290322580647,2,0,50.0,3,1.2688687315634222
anand,gujarat,2025.0,8.0,188.7,6.087096774193549,28.02741935483871,2,0,50.0,3,-0.1396440938822625
anand,gujarat,2025.0,9.0,183.48,6.116,27.463666666666665,2,0,50.0,3,-0.0334653784219003
anand,gujarat,2025.0,10.0,115.12,3.7135483870967754,25.72290322580645,2,0,50.0,3,0.0690336700336702
anand,gujarat,2025.0,11.0,16.849999999999998,0.5616666666666666,21.23433333333333,2,0,50.0,3,0.3720959595959596
anand,gujarat,2025.0,12.0,0.0,0.0,19.659032258064517,2,0,50.0,3,0.0619444444444443
banaskantha,gujarat,2024.0,2.0,0.12,0.0041379310344827,22.86586206896552,4,0,200.0,1,0.0322858731924498
banaskantha,gujarat,2024.0,3.0,9.59,0.3093548387096774,26.57677419354839,4,0,200.0,1,-0.0341379310344791
banaskantha,gujarat,2024.0,4.0,0.6100000000000001,0.0203333333333333,31.852666666666668,4,0,200.0,1,-0.0215609605911595
banaskantha,gujarat,2024.0,5.0,2.93,0.094516129032258,35.983870967741936,4,0,200.0,1,-0.0293873152709238
banaskantha,gujarat,2024.0,6.0,58.5,1.95,35.243,4,0,200.0,1,-0.0269519704433491
banaskantha,gujarat,2024.0,7.0,160.15,5.166129032258064,31.751612903225805,4,0,200.0,1,-0.0180595238095122
banaskantha,gujarat,2024.0,8.0,319.07,10.29258064516129,29.248387096774195,4,0,200.0,1,-0.0075747126437022
banaskantha,gujarat,2024.0,9.0,174.73,5.824333333333333,27.68733333333333,4,0,200.0,1,0.1351724137931
banaskantha,gujarat,2024.0,10.0,14.57,0.47,27.516451612903225,4,0,200.0,1,0.0079856321839031
banaskantha,gujarat,2024.0,11.0,0.0,0.0,24.304,4,0,200.0,1,-0.0381785714285456
banaskantha,gujarat,2024.0,12.0,0.75,0.0241935483870967,18.12741935483871,4,0,200.0,1,-0.0037746806039535
banaskantha,gujarat,2025.0,1.0,0.01,0.0003225806451612,19.503870967741936,4,0,200.0,1,-0.0126037655113293
banaskantha,gujarat,2025.0,2.0,0.0,0.0,24.06714285714286,4,0,200.0,1,-0.0167167919799737
banaskantha,gujarat,2025.0,3.0,0.0,0.0,28.33258064516129,4,0,200.0,1,-0.0581912442395946
banaskantha,gujarat,2025.0,4.0,0.09,0.003,33.18933333333334,4,0,200.0,1,0.004131720430081
banaskantha,gujarat,2025.0,5.0,57.05,1.8403225806451613,34.30548387096774,4,0,200.0,1,-0.0003413978494677
banaskantha,gujarat,2025.0,6.0,119.19,3.973,32.458666666666666,4,0,200.0,1,0.0092580645161319
banaskantha,gujarat,2025.0,7.0,334.36,10.785806451612904,28.72903225806452,4,0,200.0,1,0.0367096774193669
banaskantha,gujarat,2025.0,8.0,219.01,7.064838709677419,28.191290322580645,4,0,200.0,1,0.0087069892473152
banaskantha,gujarat,2025.0,9.0,122.37,4.079,27.376666666666665,4,0,200.0,1,0.0029999999999859
banaskantha,gujarat,2025.0,10.0,67.89,2.19,25.706451612903223,4,0,200.0,1,-0.017352150537647
banaskantha,gujarat,2025.0,11.0,6.05,0.2016666666666666,22.242,4,0,200.0,1,-0.0143910467412808
bharuch,gujarat,2023.0,11.0,36.47,1.215666666666667,25.204666666666665,2,0,102.4,3,-0.5862931034482761
bharuch,gujarat,2023.0,12.0,1.95,0.0629032258064516,22.69677419354839,2,0,102.4,3,0.509805339265851
bharuch,gujarat,2024.0,1.0,0.32,0.0103225806451612,21.38967741935484,2,0,102.4,3,-0.224655913978494
bharuch,gujarat,2024.0,2.0,0.0,0.0,24.37034482758621,2,0,102.4,3,-0.4464425287356324
bharuch,gujarat,2024.0,3.0,1.64,0.0529032258064516,27.471290322580646,2,0,102.4,3,-0.4681034482758619
bharuch,gujarat,2024.0,4.0,0.04,0.0013333333333333,32.001,2,0,102.4,3,-0.4155172413793107
bharuch,gujarat,2024.0,5.0,3.94,0.1270967741935484,34.60709677419354,2,0,102.4,3,-0.2213793103448269
bharuch,gujarat,2024.0,6.0,122.93,4.097666666666666,32.882666666666665,2,0,102.4,3,0.4357758620689642
bharuch,gujarat,2024.0,7.0,417.28,13.460645161290325,29.416451612903224,2,0,102.4,3,1.7865833333333343
bharuch,gujarat,2024.0,8.0,401.46,12.950322580645162,28.217741935483872,2,0,102.4,3,1.122932795698924
bharuch,gujarat,2024.0,9.0,358.44,11.948,28.01966666666667,2,0,102.4,3,0.4874838709677425
bharuch,gujarat,2025.0,1.0,0.0,0.0,20.32709677419355,2,0,102.4,3,2.353127118644068
bharuch,gujarat,2025.0,2.0,0.0,0.0,24.268214285714286,2,0,102.4,3,-1.041377118644068
bharuch,gujarat,2025.0,3.0,0.0,0.0,28.48064516129032,2,0,102.4,3,-1.28675
bharuch,gujarat,2025.0,4.0,0.88,0.0293333333333333,32.442,2,0,102.4,3,0.5998965517241381
bharuch,gujarat,2025.0,5.0,111.1,3.583870967741935,31.614193548387096,2,0,102.4,3,3.8714963054187193
bharuch,gujarat,2025.0,6.0,300.83,10.027666666666669,30.686333333333334,2,0,102.4,3,0.8841071428571429
bharuch,gujarat,2025.0,7.0,284.61,9.180967741935484,28.391935483870967,2,0,102.4,3,-6.523649122807018
bharuch,gujarat,2025.0,8.0,190.25,6.137096774193548,27.98548387096774,2,0,102.4,3,-0.3325421815408083
bharuch,gujarat,2025.0,9.0,207.34,6.911333333333333,27.72433333333333,2,0,102.4,3,-0.2784068264932955
bharuch,gujarat,2025.0,10.0,138.53,4.468709677419355,26.53451612903226,2,0,102.4,3,1.3572358120005426
bharuch,gujarat,2025.0,11.0,17.24,0.5746666666666667,22.661,2,0,102.4,3,0.5868096872616322
bhavnagar,gujarat,2023.0,11.0,33.36,1.112,24.585,2,1,62.0,2,-0.7834166666666667
bhavnagar,gujarat,2023.0,12.0,0.69,0.022258064516129,22.010967741935485,2,1,62.0,2,-1.3987338709677417
bhavnagar,gujarat,2024.0,1.0,0.19,0.0061290322580645,21.396451612903224,2,1,62.0,2,-1.0686290322580645
bhavnagar,gujarat,2024.0,2.0,0.0,0.0,24.75379310344828,2,1,62.0,2,-0.6291629588431604
bhavnagar,gujarat,2024.0,3.0,2.53,0.0816129032258064,28.19032258064516,2,1,62.0,2,-0.4905951056729698
bhavnagar,gujarat,2024.0,4.0,0.03,0.001,33.017,2,1,62.0,2,-0.2068790322580636
